type,color,name,latitude,longitude
beer,d8ac42,SMITHFIELD,53.347,-6.278,
beer,d8ac42,ST. STEPHEN'S GREEN EAST,53.337,-6.256,
beer,d8ac42,ST. STEPHEN'S GREEN SOUTH,53.337,-6.261,
beer,d8ac42,TALBOT STREET,53.350,-6.252,
beer,d8ac42,WILTON TERRACE,53.332,-6.252,
beer,d8ac42,JERVIS STREET,53.3483,-6.266,
beer,d8ac42,HARCOURT TERRACE,53.332,-6.257,
beer,d8ac42,SMITHFIELD NORTH,53.349,-6.278,
beer,d8ac42,PORTOBELLO ROAD,53.330,-6.268,
beer,d8ac42,UPPER SHERRARD STREET,53.358,-6.260,
beer,d8ac42,DEVERELL PLACE,53.351,-6.255,
beer,d8ac42,STRAND STREET GREAT,53.347,-6.264,
beer,d8ac42,EXCISE WALK,53.347,-6.244,
beer,d8ac42,GUILD STREET,53.347,-6.240,
beer,d8ac42,YORK STREET WEST,53.339,-6.264,
beer,d8ac42,YORK STREET EAST,53.338,-6.262,
beer,d8ac42,NEWMAN HOUSE,53.337,-6.260,
beer,d8ac42,CLONMEL STREET,53.336,-6.262,
beer,d8ac42,HATCH STREET,53.33403,-6.260,
beer,d8ac42,MOUNT STREET LOWER,53.33796,-6.241,
beer,d8ac42,GRATTAN STREET,53.339,-6.243,
beer,d8ac42,SIR PATRICK DUN'S,53.339,-6.240,
beer,d8ac42,DENMARK STREET GREAT,53.35561,-6.261,
beer,d8ac42,NORTH CIRCULAR ROAD,53.359,-6.260,
beer,d8ac42,HARDWICKE PLACE,53.357,-6.263,
beer,d8ac42,LIME STREET,53.346,-6.243,
beer,d8ac42,FENIAN STREET,53.341,-6.246,
beer,d8ac42,SANDWITH STREET,53.345,-6.247,
beer,d8ac42,CONVENTION CENTRE,53.34744,-6.238,
beer,d8ac42,NEW CENTRAL BANK,53.347,-6.234,
beer,d8ac42,THE POINT,53.346,-6.230,
beer,d8ac42,HANOVER QUAY,53.344,-6.237,
beer,d8ac42,GRAND CANAL DOCK,53.342,-6.238,
beer,d8ac42,BARROW STREET,53.341,-6.236,
beer,d8ac42,KEVIN STREET,53.337,-6.267,
beer,d8ac42,JOHN STREET WEST,53.343,-6.277,
beer,d8ac42,FRANCIS STREET,53.342,-6.275,
beer,d8ac42,OLIVER BOND STREET,53.343,-6.280,
beer,d8ac42,JAMES STREET  ,53.343,-6.287,
beer,d8ac42,MARKET STREET SOUTH,53.342,-6.287,
beer,d8ac42,WOLFE TONE STREET,53.348,-6.267,
beer,d8ac42,MATER HOSPITAL,53.359,-6.264,
beer,d8ac42,ECCLES STREET EAST,53.358,-6.265,
beer,d8ac42,ST. JAMES HOSPITAL (LUAS),53.341,-6.292,
beer,d8ac42,ST. JAMES HOSPITAL (CENTRAL),53.339,-6.295,
beer,d8ac42,MOUNT BROWN,53.341,-6.297,
beer,d8ac42,EMMET ROAD,53.340,-6.308,
beer,d8ac42,BROOKFIELD ROAD,53.339,-6.300,
beer,d8ac42,ROTHE ABBEY,53.338,-6.30395,
beer,d8ac42,PARKGATE STREET,53.347,-6.291,
beer,d8ac42,COLLINS BARRACKS MUSEUM,53.347,-6.285,
beer,d8ac42,BLACKHALL PLACE,53.3488,-6.281,
beer,d8ac42,FITZWILLIAM SQUARE EAST,53.335,-6.2509,
beer,d8ac42,BENSON STREET,53.344,-6.233,
beer,d8ac42,SOUTH DOCK ROAD,53.341,-6.231,
beer,d8ac42,HEUSTON BRIDGE (NORTH),53.347,-6.292,
beer,d8ac42,HEUSTON STATION (CENTRAL),53.346,-6.296,
beer,d8ac42,HEUSTON STATION (CAR PARK),53.346,-6.297,
beer,d8ac42,ROYAL HOSPITAL,53.343,-6.297,
beer,d8ac42,KILMAINHAM LANE,53.341,-6.305,
beer,d8ac42,KILMAINHAM GAOL,53.342,-6.310,
beer,d8ac42,FREDERICK STREET SOUTH,53.341,-6.256,
beer,d8ac42,CITY QUAY,53.346,-6.246,
beer,d8ac42,HEUSTON BRIDGE (SOUTH),53.347,-6.292,
beer,d8ac42,KING STREET NORTH,53.350,-6.273,
beer,d8ac42,WESTERN WAY,53.354,-6.269,
